entity_id,sku,Status
58124,maf0120220000,1
58125,maf0120210000,1
58126,maf0120200000,1
58127,maf0120190000,1
58128,maf0120180000,1
58129,maf0120170000,1
58130,maf012016000B,1
58131,maf012016000A,1
58134,maf0120140003,1
58135,maf0120140001,1
58136,maf0120130003,1
58137,maf0120130001,1
58138,maf0120120000,1
58139,maf01201100RE,1
58140,maf012011000R,1
58141,maf012011000C,1
58142,maf0120100000,1
58143,maf0120090003,1
58144,maf0120090001,1
58145,maf0120080003,1
58147,maf0120070000,1
58148,maf0120060000,1
58149,maf0120050000,1
58150,maf0120030003,1
58151,maf0120030001,1
58152,maf0120020000,1
58153,maf0120000000,1
58158,maf0119960000,1
58159,maf0119950000,1
58160,maf0119940000,1
58161,maf0119930000,1
58162,maf0119920000,1
58163,maf0119910000,1
58165,maf0119890003,1
58166,maf0119890001,1
58173,maf0119850000,1
58174,maf0119840000,1
58175,maf0119830000,1
58176,maf0119820000,1
58182,maf011978000B,1
58183,maf011978000A,1
58184,maf0119770000,1
58185,maf0119760000,1
58187,maf0119740000,1
58188,maf0119730000,1
58189,maf0119720003,1
58190,maf0119720001,1
58191,maf0119710003,1
58192,maf0119710001,1
58193,maf0119700003,1
58194,maf0119700001,1
58195,maf0119690003,1
58196,maf0119690001,1
58197,maf0119680003,1
58198,maf0119680002,1
58199,maf0119680001,1
58200,maf0119670000,1
58201,maf0119660000,1
58207,maf0119600003,1
58208,maf0119600002,1
58209,maf0119600001,1
58211,maf0119580000,1
58213,maf0119560000,1
58214,maf0119550000,1
58215,maf011953000B,1
58216,maf011952000B,1
58218,maf011951000B,1
58220,maf011950000B,1
58222,maf011949000B,1
58224,maf011947000G,1
